Date,Influenza,Febbre,Rinorrea,Mialgia,Cefalea,Vomito,Vaccino influenza stagionale,Vaccino antinfluenzale,Amantadina,Antivirale
2018-06-28,124,290,24,130,229,151,0,89,87,48
2018-06-29,128,272,28,101,225,202,0,19,86,35
2018-06-30,125,242,27,85,190,177,1,26,53,57
2018-07-01,106,287,30,95,170,174,0,13,63,53
2018-07-02,122,326,33,94,300,133,0,22,79,43
2018-07-03,104,286,9,73,202,120,1,33,66,20
2018-07-04,89,186,11,82,249,99,1,18,65,32
2018-07-05,82,256,29,86,257,113,1,36,71,38
2018-07-06,107,297,25,112,232,128,0,23,84,48
2018-07-07,84,277,15,85,202,124,0,13,71,31
2018-07-08,24,250,18,75,124,75,0,3,32,41
2018-07-09,36,321,23,119,114,148,0,15,78,42
2018-07-10,24,241,29,133,253,92,0,19,55,39
2018-07-11,36,309,29,120,262,73,0,17,212,53
2018-07-12,31,293,26,99,210,78,0,17,133,46
2018-07-13,21,287,25,85,243,128,0,25,69,41
2018-07-14,42,256,22,83,249,121,0,36,61,32
2018-07-15,20,252,22,91,215,86,0,20,86,34
2018-07-16,95,314,31,140,263,135,0,31,79,38
2018-07-17,110,268,21,131,254,118,0,27,87,41
2018-07-18,169,442,34,126,275,131,0,34,74,55
2018-07-19,110,242,27,105,236,144,0,18,68,39
2018-07-20,89,222,35,110,271,145,0,22,66,24
2018-07-21,80,222,38,78,256,105,0,15,47,29
2018-07-22,89,210,29,97,184,137,1,16,51,25
2018-07-23,120,266,36,147,247,135,0,31,70,50
2018-07-24,101,256,23,119,239,98,0,15,57,38
2018-07-25,103,262,18,189,284,112,0,23,49,38
2018-07-26,99,278,27,146,281,103,0,14,29,40
2018-07-27,105,212,21,100,225,88,0,7,36,38
2018-07-28,50,153,16,99,184,81,0,9,28,28
2018-07-29,57,173,22,77,204,90,0,4,30,27
2018-07-30,63,197,33,141,237,90,1,12,30,34
2018-07-31,72,183,30,113,194,66,0,10,24,23
2018-08-01,80,220,28,116,190,96,0,12,32,33
2018-08-02,94,265,24,95,270,155,0,11,25,37
2018-08-03,92,242,39,92,224,74,0,11,30,24
2018-08-04,73,278,40,131,241,105,0,22,24,31
2018-08-05,136,244,28,73,191,115,0,47,23,30
2018-08-06,143,234,35,101,230,94,1,67,44,42
2018-08-07,136,230,34,95,220,125,0,51,29,31
2018-08-08,106,244,26,118,264,128,1,48,29,41
2018-08-09,101,446,35,95,240,102,1,22,29,47
2018-08-10,86,329,23,72,260,96,0,34,34,29
2018-08-11,91,255,20,77,223,106,0,19,27,30
2018-08-12,146,280,29,84,217,131,0,8,33,52
2018-08-13,93,340,31,107,217,107,0,15,44,36
2018-08-14,96,279,30,95,211,120,0,28,39,36
